denominator_00,cloudfront_00,webserver-elb_00,webserver_02,appserver-elb_00,appserver_01,rdsmysql_01,content-s3_00,webserver_09,appserver_00,rdsmysql_00,webserver_08,appserver_03,appserver_04,appserver_02,webserver_03,webserver_04,webserver_05,appserver_05,webserver_07,webserver_06,webserver_10,webserver_00,webserver_01,webserver_11
0.156333333,0.1105,0.11775,0,0.05075,0.024,0.008333333,0.0075,0,0,0.007,0.09,0.027,0.02,0,0.129,0,0,0.027,0.073,0,0.079,0,0,0
0.146875,0.096875,0.104,0,0.0464,0.019,0.005,0.006333333,0,0.019,0.0075,0.078,0.0235,0.02,0,0.08,0,0,0,0,0.076,0,0,0,0.076
0.125666667,0.067375,0.108666667,0,0.046,0,0.005,0.0062,0,0,0.006,0,0,0,0.019,0.087,0,0,0.02,0,0,0,0.076,0,0
0.193666667,0.142428571,0.108,0,0.050714286,0,0.006,0,0.083,0.02,0.007333333,0.083,0.02,0.0225,0.021,0.076,0.0785,0,0.0255,0,0.0845,0,0,0,0
0.230166667,0.181833333,0.295,0,0.223333333,0.0205,0.009,0.008666667,0.07,0,0.254,0,0,0.522,0,0,0,0,0,0.634,0.076,0,0,0,0
0.1139,0.0606,0.11,0,0.047666667,0,0.006,0.007857143,0,0.021,0.008,0,0.021,0,0,0,0.076,0,0,0,0,0,0,0.085,0.081
0.1369,0.0911,0.100166667,0,0.045666667,0,0.0075,0.00875,0,0.019,0.006,0,0.025,0.013,0,0.07,0.079,0.073,0.021,0.074,0,0.076,0,0.074,0
0.1951,0.0893,0.109,0.086,0.0504,0.023,0.0055,0.0148,0.075,0.02,0.006666667,0,0.02,0,0.023,0.082,0,0,0.024,0,0.089,0,0,0,0
14.46642857,14.41585714,25.17,0,0.06,0.023,0.015,0.008333333,0.091,0,0.009,0,0,0,0.025,0,0,0,0.028,0,0.089,0,0,0,0.098
0.094833333,0.047666667,0.112,0,0.054,0,0.006,0.012,0,0,0.008,0,0,0,0.022,0,0,0,0.023,0.092,0,0,0,0.085,0
0.1282,0.0836,0.1315,0,0.0675,0,0,0.01,0,0.0215,0.006,0,0,0,0,0,0,0,0,0.083,0,0,0.131,0,0
0.109,0.065666667,0.118,0,0.0525,0,0.008,0.007,0,0.025,0.009,0,0.018,0,0,0.088,0,0,0,0,0.088,0,0,0,0
0.2542,0.2096,0.295333333,0,0.230333333,0.024,0.009666667,0.013,0,0.049,0,0.091,0.023,0,0,0,0.624,0.081,0,0,0,0,0,0,0
0.144571429,0.094428571,0.10825,0,0.0485,0,0.007,0.008666667,0,0,0.007,0,0,0.022,0,0.078,0,0,0.022333333,0.086,0,0,0.09,0.073,0
0.1234,0.0754,0.113,0,0.055,0,0,0.008,0,0,0.0065,0,0,0.024,0.022,0,0.081,0,0,0,0,0,0.092,0,0
0.13,0.0855,0.109666667,0,0.053666667,0.026,0.01,0.013,0,0.023,0.008,0,0.017,0,0,0.092,0,0,0,0,0.081,0,0,0.079,0
0.1218,0.0738,0.108,0,0.0555,0,0.01,0.013,0,0.026,0.012,0,0,0.025,0,0,0,0.085,0,0,0,0,0,0,0.081
0.2265,0.17375,0.19275,0.081,0.1095,0.04,0.016333333,0.009,0.364,0,0.008,0.079,0,0.021,0,0.078,0,0,0.023,0,0,0,0,0,0
0.134142857,0.081571429,0.116333333,0,0.057,0,0.01,0.0105,0,0,0.01,0,0.024,0.028,0,0,0,0.094,0,0,0.08,0,0,0.091,0
0.101,0.05475,0.112,0.088,0.055,0,0,0.008,0,0,0.012,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0
0.143285714,0.097714286,0.11875,0,0.0625,0.053,0.011,0.006666667,0,0,0.036,0,0.026,0.023,0.028,0.081,0,0,0,0,0.091,0,0.121,0,0.075
19.065125,19.004125,21.58457143,0.087,21.516,0.024,0.00775,0.006,0.084,0,0.006,0,0.022,0.023,0.023,150.375,0.09,0.09,0.022,0,0,0,0.082,0.091,0
25.443125,25.3835,33.76116667,0.083,33.49116667,0,0.012,0.0105,0,0,0.0105,0,0.025,0,0.0255,0,80.42,0.076,0.026,0,0,0,120.429,0.094,0.093
3.483166667,3.4375,10.2235,0,10.172,0,0.016,0.00925,0,0.0905,0.019,0,0.028,0,0,0,0,10.2015,0,0,0,0,0,0,0
0.18,0.13,0.1658,0,0.1048,0,0.005,0.0155,0.2255,0,0.085,0,0.019,0.1415,0.021,0.079,0,0.093,0,0,0,0,0,0,0.079
0.115333333,0.065833333,0.11,0,0.056,0,0.009,0.00925,0.084,0.028,0.008,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0
0.153888889,0.100222222,0.12,0.074,0.0596,0.025,0.0055,0.01025,0,0.025,0.008666667,0,0.014,0,0,0,0,0.106,0.021,0,0.088,0,0,0,0
0.139333333,0.093166667,0.124333333,0,0.055666667,0,0.009,0.010333333,0,0,0.0075,0.092,0,0.019,0,0,0,0.111,0.026,0,0,0,0.087,0,0
26.88633333,26.8345,53.607,60.384,53.54933333,0,0.006,0.007666667,0,0.021,0,0,0,0,0,100.283,0,0,80.265,0,0,0,0.082,0,0
0.1036,0.0574,0.111,0,0.05,0,0.012,0.01625,0.082,0,0.007,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0
0.1674,0.0898,0.1178,0,0.0578,0,0,0.01,0,0,0.008,0.090333333,0.0245,0.023,0.023,0,0,0.082,0,0,0.1,0,0,0,0
0.115428571,0.062857143,0.1205,0,0.0615,0.022,0.012,0.0078,0,0,0.007,0,0.028,0,0,0,0,0.094,0,0,0,0,0.093,0,0
0.161,0.111666667,0.11775,0,0.05875,0,0.0085,0.009,0,0.024,0.0085,0,0.022,0.024,0,0,0,0.0895,0.024,0,0,0.085,0,0.103,0
0.122875,0.076125,0.117333333,0.085,0.053666667,0.022,0.006,0.0118,0,0,0,0,0,0,0.0215,0,0.103,0,0,0,0,0,0,0,0.085
0.142625,0.094625,0.12925,0,0.06375,0.017,0.0085,0.00775,0,0.027,0.007,0,0,0.023,0,0.093,0,0,0,0.095,0.091,0,0,0,0.123
0.143857143,0.095285714,0.11625,0,0.055,0,0.0085,0.007333333,0.087,0,0.005,0,0.025,0.02,0,0,0.077,0,0.021,0.096,0.078,0,0,0,0
0.111666667,0.066333333,0.1085,0,0.05,0.019,0,0.0105,0,0,0.0075,0.083,0,0.024,0,0,0,0,0,0,0.085,0,0,0,0
0.183833333,0.133666667,0.1178,0,0.057,0,0.0065,0.009,0,0.02,0.006,0.085,0.024,0.024,0,0.081,0,0,0.0215,0.1,0.092,0.099,0,0,0
10.1344,10.0857,33.51533333,0,33.456,0,0.012,0.011428571,0,0.027,0.014,0,0,0,0,0,0.091,0,0.031,100.279,0,0,0.099,0,0
0.0895,0.053625,0.094,0.066,0.046333333,0.022,0.00625,0.0064,0,0,0,0,0.015,0.018,0.031,0,0,0.093,0,0,0,0.064,0,0,0
0.208428571,0.159285714,0.22025,0,0.13475,0.0165,0.008333333,0.009,0.076,0.068,0.006,0,0,0.015,0,0,0,0,0,0,0,0.069,0.525,0.081,0
0.155428571,0.107571429,0.1066,0.075,0.0512,0.0215,0.007,0.007,0.081,0.021,0.006333333,0,0.021,0.021,0,0,0.084,0,0,0.086,0,0,0,0,0
0.16225,0.1155,0.114666667,0,0.052666667,0,0.0065,0.005,0,0,0.005,0,0.0225,0,0.02,0.09,0,0,0,0,0,0.085,0,0,0
0.143111111,0.096888889,0.1192,0,0.0606,0.025,0.011,0.008,0.084,0.019,0.00625,0.127,0.021,0.024,0,0,0,0.097,0,0.082,0,0,0,0.078,0
0.157833333,0.1095,0.1155,0.1,0.05125,0.026,0,0.009,0.088,0,0.0065,0,0.016,0,0.018,0,0.074,0,0,0,0,0,0,0.086,0
0.106625,0.06025,0.118,0,0.0565,0,0.006,0.010666667,0,0.0205,0.009,0.069,0,0,0,0,0,0.108,0,0,0,0,0,0,0
0.108125,0.059375,0.118,0,0.056,0,0.01,0.0105,0.102,0,0.004,0,0,0.02,0,0,0.083,0,0.025,0,0,0,0,0,0
0.153125,0.10475,0.1142,0,0.054,0.025,0.005666667,0.009,0,0.019,0.0075,0,0.021,0,0.016,0,0,0.064,0,0.093,0.085,0.082,0,0.096,0
0.1864,0.138,0.1315,0.092,0.06375,0.025,0.0075,0.011,0,0.024,0.008,0,0.024,0.024,0,0.115,0,0,0,0,0.1,0,0.097,0,0
44.4615,44.33833333,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.112625,0.06875,0.621,1.199,0.304571429,0,0.031333333,0.0086,0,0.071,0.00875,0.083,0.030333333,0.039666667,0,1.075,0.608,0,0,0.218,0,0.084,0,0,0
0.101222222,0.053777778,0.113,0.093,0.053,0.025,0.012,0.009571429,0,0,0.006,0,0,0,0,0,0,0,0.022,0.082,0,0,0,0,0
0.148333333,0.106333333,0.109,0,0.054,0.023,0.008,0.0165,0,0.023,0.006666667,0.083,0,0,0.02,0.089,0,0,0.023,0,0,0.083,0,0,0.082
0.408375,0.359,0.462,0,0.3736,0,0.436666667,0.008666667,0.081,1.605,0.0075,0,0,0,0.02,0,0,0.081,0.021,0.082,0,1.818,0.082,0,0
0.115571429,0.061142857,0.115,0,0.0545,0,0.011,0.0084,0,0.022,0.008,0,0,0,0.026,0,0.071,0,0,0,0,0,0,0,0.1
0.171,0.152333333,0.119666667,0,0.054,0,0.0055,0,0.092,0.025,0.017,0,0.018,0,0,0,0.074,0,0.03,0.098,0,0,0,0,0
0.173125,0.063555556,0.1075,0,0.0495,0.017,0.007,0.009,0,0,0.007,0,0.023,0,0,0,0,0.091,0,0,0,0.069,0,0,0
0.118166667,0.069166667,0.117,0,0.0565,0.028,0.012,0.00725,0,0,0.008,0,0.024,0,0,0,0,0,0,0,0.087,0,0,0,0
0.109714286,0.061285714,0.111,0,0.0555,0,0.01,0.01,0.081,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0.087
0.126666667,0.076,0.121666667,0,0.061666667,0,0.011,0.012333333,0,0,0.0075,0,0.026,0.022,0,0,0,0,0.025,0.09,0,0,0.0915,0,0
0.212555556,0.128666667,0.135166667,0,0.067166667,0,0.008,0.010333333,0.109,0.0285,0.0146,0,0.025,0.0335,0,0.099,0,0.121,0.026,0,0.086,0,0.09,0,0
60.235,60.1742,150.328,0,150.2135,0,0.006,0.008666667,0,0,0,300.409,0,0,0,0,0.087,0,0.022,0,0,0,0,0,0
61.96583333,61.89916667,92.78425,0,92.7105,0.019,0.005,0.01,0,0,0.005,0,0.02,0,0,95.233,180.446,0,0,0.09,0,0,0,0,0
23.22914286,23.16714286,26.892,0,26.7885,0.024,0.007,0.006,0,0,0.009,0,0.028,0.0235,0,0,120.612,0,0,40.139,0.094,0.094,0,0,0
3.6015,3.538833333,5.2485,0,5.19225,0.028,0.0105,0.0095,0,0.022,0.015428571,0,0.023,0,0.1555,0,0.088,0,0,20.623,0.094,0,0,0,0.083
0.123571429,0.077857143,0.114,0,0.054,0,0.006666667,0.00875,0,0.021,0,0,0,0,0.024,0,0,0,0,0.091,0.082,0.088,0,0,0
0.214714286,0.165571429,0.183,0,0.0558,0.023,0.007,0.0105,0,0.022,0.006666667,0.233,0.024,0,0,0,0.088,0,0.017,0.089,0,0,0,0,0.09
0.120375,0.060875,0.115,0,0.0545,0.022,0.007,0.010166667,0,0,0.007,0,0,0,0,0,0,0,0.022,0,0,0.096,0,0.081,0
0.113833333,0.067166667,0.111,0,0.0495,0.017,0.0075,0.01,0,0,0,0,0,0,0,0.079,0,0,0.026,0.088,0,0,0,0,0
0.116666667,0.068666667,0.112,0,0.052,0.021,0,0.013,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0.087,0,0,0
37.96,37.909,151.468,0,0,0,0,0.009666667,151.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.4376,37.3592,62.2,0,0,0,0,0.0095,0,0,0,32.737,0,0,0,90.983,0,0,0,0,0,62.776,0,0,0
0.568333333,0.514333333,0.970666667,0.087,1.06,0,0.040333333,0.006333333,2.254,0.021,0.0205,0,1.1065,0.099,0.5505,0,0,0,0.323,0,0,0.091,0,0,0
0.131,0.085166667,0.113333333,0,0.054333333,0.022,0.007,0.008666667,0,0,0.007,0,0.024,0,0,0,0,0,0.023,0.082,0,0.085,0,0,0.09
0.112142857,0.058142857,0.11,0,0.0525,0,0.009,0.007,0,0,0.006,0.082,0.021,0,0.023,0,0,0,0,0,0,0,0,0.084,0
0.164,0.1048,0.118,0,0.057666667,0,0,0.011,0,0.021,0.006666667,0,0,0.024,0,0,0,0,0.021,0,0.093,0,0.089,0,0.095
0.122,0.075625,0.122,0.0865,0.056333333,0.023,0.006,0.0094,0,0,0.008,0,0.019,0,0.022,0,0,0,0,0,0,0,0,0.094,0
0.1602,0.120166667,0.12225,0,0.061,0.029,0.0115,0.012,0,0.025666667,0.01,0,0,0,0,0,0.094,0,0,0,0,0.092,0.092,0,0
0.153375,0.105,0.113,0,0.0522,0.019,0.009,0.013333333,0,0,0.0065,0,0.024,0.0235,0.021,0,0,0,0,0,0.083,0,0.088,0.098,0.078
0.122571429,0.080285714,0.120333333,0,0.056,0.021,0.005,0.00925,0,0,0.0075,0,0,0,0.025,0,0.083,0,0,0.095,0,0,0,0,0.089
0.1816,0.13,0.1215,0,0.0545,0,0.008333333,0.007,0,0,0.005,0,0.024,0.02,0,0,0.078,0.097,0.022,0.081,0,0,0.089,0,0
0.094,0.0512,0.113,0,0.049,0,0,0.01075,0,0,0.005,0,0,0,0,0.076,0,0,0.019,0,0,0,0,0,0
16.965,20.2722,20.2342,0,0.05225,0,0.009,0,0.08,0.023,0.007,0,0,0,0.0225,0,0.089,0,0.02,0,0,0,0,0.0835,0
0.1226,0.087833333,0.117666667,0,0.16,0,0.009,0.009,0.09,0.026,0.106666667,0.086,0,0,0.027,0,0,0,0.1755,0,0,0.528,0,0,0
0.138125,0.08675,0.111,0,0.051,0.022,0.008,0.009,0,0.0235,0.009,0,0,0,0.024,0.08,0.078,0,0,0,0,0.076,0,0,0.084
0.141428571,0.098571429,0.118,0,0.05875,0,0.006,0.011,0.083,0,0.004666667,0,0.02,0.017,0,0,0,0,0.019,0.08,0,0,0.09,0.103,0
0.1615,0.115666667,0.1215,0,0.05875,0,0.007,0.0145,0.09,0.023,0.005333333,0,0,0.02,0.021,0,0.097,0,0.021,0,0.082,0,0,0,0.086
0.10475,0.064875,0.104,0,0.047333333,0.016,0.006,0.01,0.08,0,0.014,0.071,0.018,0,0,0,0,0,0.027,0.076,0,0,0,0,0
0.1562,0.1056,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.103,0.0548,0.117,0,0.056,0,0,0.0115,0,0,0.006,0,0.022,0,0,0,0,0,0,0,0,0,0.087,0,0
18.937625,18.891625,37.704,0,37.6305,0,0.0215,0.00675,0,0.016,0.004,0.0905,0,0.053,0,0.072,0,0,0,0,0,0,0,0,150.429
19.11933333,19.06333333,42.80525,0,42.71225,0,0.005,0.0084,85.4575,0.02,0.005,0.082,0.02,0,0,0,0,0,0,0,0,0,0,0,0.084
0.15425,0.104125,0.117,0,0.0554,0,0.0095,0.008,0.086333333,0.02,0.02175,0,0,0.023,0.023,0,0.086,0,0.06225,0,0,0.09,0,0,0
0.195,0.147285714,0.273333333,0.546,0.117,0,0.0085,0.01,0,0.029,0.02,0,0,0.052,0.021,0,0,0,0,0,0,0.098,0,0,0.072
0.109,0.061571429,0.121,0,0.051,0,0.007,0.0074,0,0.022,0.007,0,0,0.022,0,0.081,0,0.087,0,0,0,0,0,0,0
0.1862,0.167,0.13075,0.099,0.05775,0,0.007,0,0.087,0.025,0.006,0,0,0.022,0.023,0.088,0,0,0.021,0,0,0.093,0,0,0
0.134142857,0.07775,0.120333333,0,0.059666667,0,0.0055,0.0112,0.0925,0.024,0.009,0,0,0.022,0.02,0,0,0,0,0,0.084,0,0,0,0
0.224428571,0.140285714,0.1245,0,0.05375,0.023,0.007,0.093666667,0,0,0.006333333,0,0,0.022,0.021,0,0,0,0.021,0,0,0,0.086,0,0.086
0.104,0.05725,0.112,0,0.051,0,0.005,0.007,0,0,0,0,0.02,0,0,0.082,0,0,0,0,0,0,0,0,0
0.088666667,0.042666667,0.114,0,0.058,0,0.008,0.0068,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0.081
0.145,0.098833333,0.131666667,0.085,0.056333333,0,0.006333333,0.011,0,0,0,0,0,0,0.022,0,0,0,0.02,0,0,0,0.093,0,0.086
23.54883333,23.4925,70.3625,0,70.246,0,0,0.01,0,0,0.0035,0,90.17,0,50.238,50.329,0,90.226,0,0,0,0,0,0,0
0.083625,0.04475,0.092,0.057,0.043,0,0.007,0.007,0,0.025,0,0,0.014,0,0,0,0,0,0,0,0,0,0.082,0,0
0.25525,0.211,0.200857143,0.0895,0.107428571,0.21,0.0855,0.006,0.067,0.018,0.006,0.078,0.0215,0,0.02,0,0,0,0.022,0,0,0.076,0.593,0.078,0
0.145571429,0.1,0.12075,0,0.051,0,0.008,0.007333333,0,0.021,0.005333333,0,0,0,0,0.094,0,0,0.02,0,0,0,0,0.084,0.08
0.06825,0.02325,0,0,0,0,0,0.00825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.071714286,0.027142857,0,0,0,0,0,0.009857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.144,0.102714286,0.1026,0,0.0496,0.0205,0.00725,0.0085,0,0.016,0.006,0.071,0,0.019,0,0,0.09,0,0,0,0,0.065,0,0.079,0
0.1665,0.11725,0.1354,0,0.0636,0.0205,0.007333333,0.011333333,0.091,0.02,0.006,0,0,0,0,0,0,0,0.0245,0.087,0,0.118,0.084,0,0.107
0.136166667,0.075166667,0.126,0,0.057,0,0.006,0.01075,0,0.022,0.006,0,0,0,0,0,0,0,0,0,0.093,0,0.092,0,0
0.167625,0.11625,0.1322,0,0.062,0,0.008,0.01,0,0.027,0.0085,0.103,0,0.027,0,0,0,0,0.023,0,0.089,0,0,0,0.097333333
0.101428571,0.061,0.1155,0,0.049,0,0.005,0.0094,0,0.021,0.005,0,0.019,0,0,0,0,0,0,0,0,0.085,0,0,0.081
